day/month;Time;Temperature;Dew Point;Humidity;Wind;Wind Speed;Wind Gust;Pressure;Precip.;Precip Accum;Condition
16.Jul;12:20 AM;72;57;60%;VAR;1 mph ;0 mph ;29,6;0;0;Fair
16.Jul;12:50 AM;73;57;57%;W;3 mph ;0 mph ;29,6;0;0;Fair
16.Jul;1:20 AM;75;57;53%;CALM;0 mph ;0 mph ;29,6;0;0;Fair
16.Jul;1:50 AM;72;57;60%;CALM;0 mph ;0 mph ;29,6;0;0;Fair
16.Jul;2:20 AM;72;57;60%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;2:50 AM;72;59;64%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;3:20 AM;72;59;64%;VAR;2 mph ;0 mph ;29,5;0;0;Fair
16.Jul;3:50 AM;70;59;68%;W;5 mph ;0 mph ;29,5;0;0;Fair
16.Jul;4:20 AM;72;59;64%;VAR;2 mph ;0 mph ;29,5;0;0;Fair
16.Jul;4:50 AM;70;57;64%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;5:20 AM;68;57;68%;W;2 mph ;0 mph ;29,5;0;0;Fair
16.Jul;5:50 AM;68;59;73%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;6:20 AM;66;57;73%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;6:50 AM;73;57;57%;W;3 mph ;0 mph ;29,5;0;0;Fair
16.Jul;7:20 AM;73;59;61%;VAR;1 mph ;0 mph ;29,5;0;0;Fair
16.Jul;7:50 AM;77;57;50%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;8:20 AM;81;57;45%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;8:50 AM;81;57;45%;VAR;2 mph ;0 mph ;29,5;0;0;Fair
16.Jul;9:20 AM;84;55;37%;VAR;3 mph ;0 mph ;29,5;0;0;Fair
16.Jul;9:50 AM;86;54;33%;SSE;5 mph ;0 mph ;29,5;0;0;Fair
16.Jul;10:20 AM;84;59;42%;ESE;5 mph ;0 mph ;29,5;0;0;Fair
16.Jul;10:50 AM;88;50;27%;ENE;10 mph ;0 mph ;29,5;0;0;Fair
16.Jul;11:20 AM;88;54;31%;ENE;10 mph ;0 mph ;29,5;0;0;Fair
16.Jul;11:50 AM;88;52;29%;ESE;7 mph ;0 mph ;29,5;0;0;Fair
16.Jul;12:20 PM;90;52;27%;ENE;6 mph ;0 mph ;29,5;0;0;Fair
16.Jul;12:50 PM;90;50;26%;E;10 mph ;0 mph ;29,5;0;0;Fair
16.Jul;1:20 PM;91;48;23%;ENE;9 mph ;0 mph ;29,5;0;0;Fair
16.Jul;1:50 PM;91;50;24%;E;10 mph ;0 mph ;29,5;0;0;Fair
16.Jul;2:20 PM;91;50;24%;E;6 mph ;0 mph ;29,5;0;0;Fair
16.Jul;2:50 PM;93;52;24%;E;7 mph ;0 mph ;29,5;0;0;Fair
16.Jul;3:20 PM;93;54;26%;ESE;6 mph ;0 mph ;29,5;0;0;Fair
16.Jul;3:50 PM;91;54;28%;E;8 mph ;0 mph ;29,5;0;0;Fair
16.Jul;4:20 PM;93;54;26%;ESE;6 mph ;0 mph ;29,5;0;0;Fair
16.Jul;4:50 PM;93;55;28%;E;8 mph ;0 mph ;29,5;0;0;Fair
16.Jul;5:20 PM;91;55;29%;E;10 mph ;0 mph ;29,5;0;0;Fair
16.Jul;5:50 PM;91;55;29%;ENE;12 mph ;0 mph ;29,5;0;0;Fair
16.Jul;6:20 PM;90;57;33%;E;8 mph ;0 mph ;29,5;0;0;Fair
16.Jul;6:50 PM;88;57;35%;E;8 mph ;0 mph ;29,5;0;0;Fair
16.Jul;7:20 PM;88;57;35%;ESE;7 mph ;0 mph ;29,5;0;0;Fair
16.Jul;7:50 PM;86;55;35%;SSE;8 mph ;0 mph ;29,5;0;0;Fair
